<DTYYYYMMDD>,<TICKER>,<NAME>,<CLOSE>,<HIGH>,<LOW>,<OPEN>,<VOL>
20140122,601166,兴业银行,9.56,9.63,9.29,9.32,75891856
20140122,601168,西部矿业,5.26,5.28,5.15,5.18,9591931
20140122,601169,北京银行,7.14,7.15,7.02,7.03,24831912
20140122,601177,杭齿前进,6.58,6.62,6.42,6.42,589735
20140122,601179,中国西电,3.26,3.27,3.15,3.16,14793998
20140122,601186,中国铁建,4.3,4.31,4.18,4.18,25143376
20140122,601188,龙江交通,2.25,2.26,2.2,2.21,2584188
20140122,601199,江南水务,14.03,14.05,13.73,13.73,1387377
20140122,601208,东材科技,7.81,7.93,7.7,7.7,10706131
20140122,601216,内蒙君正,14.38,15.17,13.64,13.9,89333057
20140122,601218,吉鑫科技,3.6,3.62,3.51,3.54,2944623
20140122,601222,林洋电子,20.2,20.6,19.3,19.5,5115180
20140122,601231,环旭电子,25.89,26.75,25.5,25.93,5702727
20140122,601233,桐昆股份,5.73,5.75,5.54,5.55,2121778
20140122,601238,广汽集团,7.59,7.62,7.24,7.31,7818799
20140122,601258,庞大集团,4.98,5,4.85,4.85,6056092
20140122,601268,*ST二重,2.27,2.32,2.21,2.22,8972536
20140122,601288,农业银行,2.39,2.4,2.37,2.37,118387537
20140122,601299,中国北车,4.54,4.55,4.36,4.36,86621700
20140122,601311,骆驼股份,10.84,10.97,10.05,10.09,14341423
20140122,601313,江南嘉捷,8.39,8.46,8.23,8.28,2602879
20140122,601318,中国平安,41.81,42.14,41.16,41.31,33532100
20140122,601328,交通银行,3.78,3.79,3.72,3.73,53780476
20140122,601333,广深铁路,2.52,2.54,2.47,2.47,18658365
20140122,601336,新华保险,22.02,22.05,21.5,21.61,7510565
20140122,601339,百隆东方,9.41,9.44,9.18,9.18,3260714
20140122,601369,陕鼓动力,6.31,6.33,6.21,6.24,4360354
20140122,601377,兴业证券,9.47,9.48,9.29,9.32,12555127
20140122,601388,怡球资源,9.05,9.09,8.77,8.77,2821028
20140122,601390,中国中铁,2.48,2.48,2.41,2.42,27341406
20140122,601398,工商银行,3.43,3.43,3.39,3.4,78229837
20140122,601515,东风股份,28.88,28.98,27.53,28.4,2709853
20140122,601518,吉林高速,2.15,2.15,2.1,2.1,3427689
